iter	MultiClass
179	0.4436557356
180	0.4426805176
181	0.4417063571
182	0.4408297769
183	0.4397206519
184	0.4387115521
185	0.4373061848
186	0.4362469512
187	0.4350442453
188	0.434007195
189	0.4331965666
190	0.4321901713
191	0.4313753069
192	0.4307237051
193	0.4298344916
194	0.4289086399
195	0.4278322016
196	0.4269115452
197	0.4259767305
198	0.4252145678
199	0.4243735773
200	0.4230896353
201	0.4221613125
202	0.4214170011
203	0.4205629447
204	0.4196286089
205	0.4189791585
206	0.4181130096
207	0.4172266046
208	0.4162650275
209	0.4151885296
210	0.4145668038
211	0.4138296566
212	0.4127405963
213	0.4118845696
214	0.4111321491
215	0.4103199384
216	0.4096811218
217	0.4088812928
218	0.4077986649
219	0.4073057403
220	0.4064891015
221	0.4058577374
222	0.4048813091
223	0.4040379946
224	0.4034469466
225	0.402803063
226	0.4021179246
227	0.4015170941
228	0.4007810895
229	0.4001551254
230	0.3994805198
231	0.3987971071
232	0.3982523488
233	0.3975335406
234	0.3968363949
235	0.3960533219
236	0.3955176031
237	0.3947679656
238	0.3941732342
239	0.3935419016
240	0.3925886032
241	0.3919662906
242	0.3913121822
243	0.3908590379
244	0.3902268617
245	0.3895267931
246	0.3888202284
247	0.3882010014
248	0.3875447982
249	0.3869067988
250	0.386286783
251	0.3855111438
252	0.3848448375
253	0.3841210444
254	0.3835223203
255	0.3827641803
256	0.3821382637
257	0.3814292496
258	0.3806343663
259	0.3799023116
260	0.3793447889
261	0.3787016907
262	0.3781873766
263	0.3777738278
264	0.3771587135
265	0.3767329161
266	0.3761118456
267	0.3755190842
268	0.3751073277
269	0.3745522108
270	0.373970476
271	0.3734542375
272	0.3728366112
273	0.3722193149
274	0.3716730049
275	0.3711385609
276	0.370606127
277	0.3700068439
278	0.3694750675
279	0.3688893608
280	0.3685006763
281	0.3677059498
282	0.3671203428
283	0.3666002054
284	0.3660969031
285	0.3656529923
286	0.3650801534
287	0.3645938278
288	0.3640916481
289	0.3633548527
290	0.3627207034
291	0.3621274446
292	0.3616681858
293	0.3610504185
294	0.3605097524
295	0.3599849969
296	0.3595312411
297	0.3590605579
298	0.3584936431
299	0.3579528161
300	0.357440946
301	0.356768526
302	0.3562913681
303	0.3558532857
304	0.3553969742
305	0.3549587869
306	0.3543400875
307	0.3537048618
308	0.3531960904
309	0.3527570565
310	0.3523186334
311	0.3515410477
312	0.3510435216
313	0.3504425064
314	0.3497164351
315	0.3491469703
316	0.348526961
317	0.3480542722
318	0.3476365815
319	0.3469898444
320	0.346513627
321	0.3459798948
322	0.345583817
323	0.3450678297
324	0.3447785852
325	0.3441434374
326	0.3436289182
327	0.3431636057
328	0.3425625261
329	0.3422152995
330	0.3416895108
331	0.3410451526
332	0.3403217157
333	0.3397272645
334	0.3392130712
335	0.3387296707
336	0.3380766321
337	0.337526627
338	0.3371207389
339	0.3367306063
340	0.3364172838
341	0.3360576649
342	0.3357263965
343	0.3353163365
344	0.3349710002
345	0.3345493777
346	0.3339944965
347	0.3335958871
348	0.3331648981
349	0.3326742781
350	0.3319570575
351	0.3314630558
352	0.3309536705
353	0.3305771676
354	0.3300261021
355	0.329568593
356	0.329002045
357	0.3285387351
358	0.3281179487
359	0.3276148763
360	0.3273116222
361	0.326856463
362	0.3264999118
363	0.3261287829
364	0.3257212153
365	0.3253084987
366	0.3248646438
367	0.3244591634
368	0.3240866913
369	0.3236980299
370	0.3233943883
371	0.323067432
372	0.3227520225
373	0.3222556553
374	0.3218993176
375	0.321457244
376	0.3211467162
377	0.3204848365
378	0.3201281881
379	0.31963954
380	0.3192852414
381	0.3189792084
382	0.3185956605
383	0.3180955688
384	0.317630924
385	0.3173040337
386	0.3169474829
387	0.3166852619
388	0.3161884565
389	0.3158892738
390	0.3155414124
391	0.315001608
392	0.3145248778
393	0.3141126751
394	0.3138110248
395	0.3133295416
396	0.3129433002
397	0.3126417568
398	0.3121453741
399	0.3116612825
